Id,Terrorist,Network Strength,Ties,Las Vegas Meeting
1,Majed Moqed,1,2,0
2,Khalid Al-Mihdhar,1,2,0
3,Hani Hanjour,1,2,1
4,Nawaf Alhazmi,1,2,1
5,Salem Alhazmi*,1,2,1
6,Ahmed Alnami,1,3,0
7,Ahmed Alghamdi,1,4,0
8,Saeed Alghamdi*,1,3,0
9,Hamza Alghamdi,1,4,0
10,Ahmed Al Haznawi,1,3,0
11,Mohand Alshehri*,1,4,0
12,Fayez Ahmed,1,4,0
13,Ziad Jarrah,1,3,1
14,Marwan Al-Shehhi,1,4,1
15,Mohamed Atta,1,1,1
16,Abdul Aziz Al-Omari*,1,1,0
17,Waleed Alshehri,1,1,0
18,Wail Alshehri,1,1,0
19,Satam Suqami,1,1,0
20,Raed Hijazi,2,5,0
21,Nabil al-Marabh,2,5,0
22,Mustafa Ahamend al-Hisawi,2,5,0
23,Mamoun Darkazanli,2,5,0
24,Zakariya Essabar,2,5,0
25,Said Bahaji,2,5,0
26,Mounir El Motassadeq,2,5,0
27,Zacarias Moussaoui,2,5,0
28,Ramzi Bin al-Shibh,2,5,0
29,Agus Budiman,2,5,0
30,Ahed Khalil Ibrahim Samir Al-Ani,2,5,0
31,Lofti Raissi,2,5,0
32,Rayed Mohammed Abdullah,2,5,0
33,Bandar Alhazmi,2,5,0
34,Faisal Al Salmi,2,5,0
35,Osama Awadallah,2,5,0
36,Abdussattar Shaikh,2,5,0
37,Mohamed Abdi,2,5,0
38,Mohamed Belfas,2,5,0
39,Imad Eddin Baraat Yarkas,2,5,0
40,Tarek Maaroufi,2,5,0
41,Abu Qatada,2,5,0
42,Djamal Benghal,2,5,0
43,Jerome Courtaillier,2,5,0
44,David Courtaillier,2,5,0
45,Ahmen Ressam,2,5,0
46,Abu Walid,2,5,0
47,Jean-Marc Grandvisir,2,5,0
48,Abu Zubeida,2,5,0
49,Nizar Trabelsi,2,5,0
50,Haydar Abu Doha,2,5,0
51,Mehdi Khammoun,2,5,0
52,Mohammed Bensakhria,2,5,0
53,Lased Ben Heni,2,5,0
54,Essid Sami Ben Khemail,2,5,0
55,Seifallah ben Hassine,2,5,0
56,Essoussi Laaroussi,2,5,0
57,Takek Maaroufi,2,5,0
58,Fahid al Shakri,2,5,0
59,Madjid Sahoune,2,5,0
60,Samir Kishk,2,5,0
61,Kamel Daoudi,2,5,0
